sample	unit	platform	fq1	fq2
L1305002x1	1	ILLUMINA	L1305002x1.subset1.5M.R1.fastq.gz	L1305002x1.subset1.5M.R2.fastq.gz
L1315002x1	1	ILLUMINA	L1315002x1.subset1.5M.R1.fastq.gz	L1315002x1.subset1.5M.R2.fastq.gz
L1325002x1	1	ILLUMINA	L1325002x1.subset1.5M.R1.fastq.gz	L1325002x1.subset1.5M.R2.fastq.gz
L1575002x1	1	ILLUMINA	L1575002x1.subset1.5M.R1.fastq.gz	L1575002x1.subset1.5M.R2.fastq.gz
L1585002x1	1	ILLUMINA	L1585002x1.subset1.5M.R1.fastq.gz	L1585002x1.subset1.5M.R2.fastq.gz
L1595002x1	1	ILLUMINA	L1595002x1.subset1.5M.R1.fastq.gz	L1595002x1.subset1.5M.R2.fastq.gz
U11410001x1	1	ILLUMINA	U11410001x1.subset1.5M.R1.fastq.gz	U11410001x1.subset1.5M.R2.fastq.gz
U11410001x2	1	ILLUMINA	U11410001x2.subset1.5M.R1.fastq.gz	U11410001x2.subset1.5M.R2.fastq.gz
U11410002x1	1	ILLUMINA	U11410002x1.subset1.5M.R1.fastq.gz	U11410002x1.subset1.5M.R2.fastq.gz
U11410002x2	1	ILLUMINA	U11410002x2.subset1.5M.R1.fastq.gz	U11410002x2.subset1.5M.R2.fastq.gz
U11420001x1-2	1	ILLUMINA	U11420001x1-2.subset1.5M.R1.fastq.gz	U11420001x1-2.subset1.5M.R2.fastq.gz
U11420001x1	1	ILLUMINA	U11420001x1.subset1.5M.R1.fastq.gz	U11420001x1.subset1.5M.R2.fastq.gz
U11420001x2	1	ILLUMINA	U11420001x2.subset1.5M.R1.fastq.gz	U11420001x2.subset1.5M.R2.fastq.gz
U11420002x1	1	ILLUMINA	U11420002x1.subset1.5M.R1.fastq.gz	U11420002x1.subset1.5M.R2.fastq.gz
U11420002x2	1	ILLUMINA	U11420002x2.subset1.5M.R1.fastq.gz	U11420002x2.subset1.5M.R2.fastq.gz
U1142501x1	1	ILLUMINA	U1142501x1.subset1.5M.R1.fastq.gz	U1142501x1.subset1.5M.R2.fastq.gz
U1142501x2	1	ILLUMINA	U1142501x2.subset1.5M.R1.fastq.gz	U1142501x2.subset1.5M.R2.fastq.gz
U1142502x1	1	ILLUMINA	U1142502x1.subset1.5M.R1.fastq.gz	U1142502x1.subset1.5M.R2.fastq.gz
U1142502x2	1	ILLUMINA	U1142502x2.subset1.5M.R1.fastq.gz	U1142502x2.subset1.5M.R2.fastq.gz
U11430001x1	1	ILLUMINA	U11430001x1.subset1.5M.R1.fastq.gz	U11430001x1.subset1.5M.R2.fastq.gz
U1145001x1	1	ILLUMINA	U1145001x1.subset1.5M.R1.fastq.gz	U1145001x1.subset1.5M.R2.fastq.gz
U1145001x2	1	ILLUMINA	U1145001x2.subset1.5M.R1.fastq.gz	U1145001x2.subset1.5M.R2.fastq.gz
U1145002x1	1	ILLUMINA	U1145002x1.subset1.5M.R1.fastq.gz	U1145002x1.subset1.5M.R2.fastq.gz
U1145002x2	1	ILLUMINA	U1145002x2.subset1.5M.R1.fastq.gz	U1145002x2.subset1.5M.R2.fastq.gz
U1147501x1	1	ILLUMINA	U1147501x1.subset1.5M.R1.fastq.gz	U1147501x1.subset1.5M.R2.fastq.gz
U1147501x2	1	ILLUMINA	U1147501x2.subset1.5M.R1.fastq.gz	U1147501x2.subset1.5M.R2.fastq.gz
U1147502x1	1	ILLUMINA	U1147502x1.subset1.5M.R1.fastq.gz	U1147502x1.subset1.5M.R2.fastq.gz
U1147502x2	1	ILLUMINA	U1147502x2.subset1.5M.R1.fastq.gz	U1147502x2.subset1.5M.R2.fastq.gz
U935001x1	1	ILLUMINA	U935001x1.subset1.5M.R1.fastq.gz	U935001x1.subset1.5M.R2.fastq.gz
U945001x1	1	ILLUMINA	U945001x1.subset1.5M.R1.fastq.gz	U945001x1.subset1.5M.R2.fastq.gz
U955001x1	1	ILLUMINA	U955001x1.subset1.5M.R1.fastq.gz	U955001x1.subset1.5M.R2.fastq.gz
U965001x1	1	ILLUMINA	U965001x1.subset1.5M.R1.fastq.gz	U965001x1.subset1.5M.R2.fastq.gz
U975001x1	1	ILLUMINA	U975001x1.subset1.5M.R1.fastq.gz	U975001x1.subset1.5M.R2.fastq.gz
U995001x1	1	ILLUMINA	U995001x1.subset1.5M.R1.fastq.gz	U995001x1.subset1.5M.R2.fastq.gz
U997001x1	1	ILLUMINA	U997001x1.subset1.5M.R1.fastq.gz	U997001x1.subset1.5M.R2.fastq.gz
